sentence,label
i have to jiggle the plug to get it to line up right to get decent volume.,0
clear crisp sound.,1
however i needed some better instructions.,0
"i guess it was supposed to be clever twist, then shed some light on the situation, but it was just stupid.",0
great audio!.,1
highly recommended.,1
"it had some average acting from the main person, and it was a low budget as you clearly can see.",0
the server was very negligent of our needs and made us feel very unwelcome... i would not suggest this place!,0
the phone was unusable and was not new.,0
"we had so much to say about the place before we walked in that he expected it to be amazing, but was quickly disappointed.",0
definitely a bargain.,1
by far the best cheesecurds we have ever had!,1
worst hour and a half of my life!oh my gosh!,0
i'm super pissd.,0
"i don't know exactly what it is about this movie, but we latched on to this endearing movie and it has become a special part of our family's memories.",1
great phone.,1
do not buy if you want to use the holster.,0
protects the phone on all sides.,1
stopped by during the late may bank holiday off rick steve recommendation and loved it.,1
"predictable, but not a bad watch.",1
reversible plug works great.,1
all the bread is made in-house!,1
service was slow and not attentive.,0
what a mistake that was!,0
10/10,1
"horrible, had to switch 3 times.",0
the selection of food was not the best.,0
i think this restaurant suffers from not trying hard enough.,0
my sanyo has survived dozens of drops on blacktop without ill effect.,1
we ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,1
this is a great deal.,1
no real improvement.,0
if you simply want a small flip phone -- look elsewhere as the extra bells & whistles are mediocre.,0
i waited and waited.,0
works as described.,1
the screen does get smudged easily because it touches your ear and face.,0
"frozen pucks of disgust, with some of the worst people behind the register.",0
"an instant classic, with a great soundtrack and a catchy song during the ending credits.",1
"this gets a 1 out of 10, simply because there's nothing lower.",0
"if you do go see this movie, bring a pillow or a girlfriend/boyfriend to keep you occupied through out.",0
"jabra ear gels ""r"" the best!.",1
it always cuts out and makes a beep beep beep sound then says signal failed.,0
"when i opened the sandwich, i was impressed, but not in a good way.",0
it's really easy.,1
highly recommend for any one who has a blue tooth phone.,1
"however, there was so much garlic in the fondue, it was barely edible.",0
"other than that, the leather is nice and soft; the fit is very tight; the cut out for the face is a good shape.",1
"this is a witty and delightful adaptation of the dr seuss book, brilliantly animated by upa's finest and thoroughly deserving of its academy award.",1
we waited for forty five minutes in vain.,0
this is one of the worst sandra bullock movie since speed 2 but not quite that bad.,0
please stay away from the shrimp stir fried noodles.,0
worst software ever used.... if i could give this zero stars i would.,0
"the service was great, even the manager came and helped with our table.",1
but this movie is definitely a below average rent.,0
this place is great!!!!!!!!!!!!!!,1
"oh yeah, and the storyline was pathetic too.",0
this one is simply a disappointment.,0
excellent product for the price.,1
nice design and quality.,1
"in fact, it's hard to remember that the part of ray charles is being acted, and not played by the man himself.  	1
ray charles is legendary.  	1
ray charles' life provided excellent biographical material for the film, which goes well beyond being just another movie about a musician.  	1
hitchcock is a great director.  	1
ironically i mostly find his films a total waste of time to watch.  	0
secondly, hitchcock pretty much perfected the thriller and chase movie.  	1
it's this pandering to the audience that sabotages most of his films.  	0
hence the whole story lacks a certain energy.  	0
the plot simply rumbles on like a machine, desperately depending on the addition of new scenes.  	0
there are the usual hitchcock logic flaws.  	0
mishima is extremely uninteresting.  	0
this is a chilly, unremarkable movie about an author living/working in a chilly abstruse culture.  	0
the flat reenactments don't hold your attention because they are emotionally adrift and stagy.  	0
and the rest of it just sits there being awful... with soldiers singing songs about the masculinity they pledge themselves to, hairsplitting about purity, the admiration of swords, etc.  	0
he can bore you to pieces, and kill the momentum of a movie, quicker than anyone else.  	0
schrader has made a resume full of lousy, amateurish films.  	0
when i first watched this movie, in the 80s, i loved it.  	1
i was totally fascinated by the music, the dancing... everything.  	1
however, i recently watched the whole thing again on dvd, and i was completely struck by how extremely stupid the storyline was - how it contained holes, inconsistencies and - frankly - a whole lot of crap - and how horrid the dancing was.  	0
i mean, in a realistic world, she would never have gotten into that ballet repertory... the whole thing was quite pathetic.  	0
the character developments also lacked in depth.  	0
woa, talk about awful.  	0
do not waste your time.  	0
it was just too horrible.  	0
the worst, sappiest dialogue... i could go on and on.  	0
but what really made it unwatchable was the direction.  	0
the poor actors.  	0
you can't even tell if they have any talent because they not only have pathetic lines to speak but the director gave them no action.  	0
if you check the director's filmography on this site you will see why this film didn't have a chance.  	0
this would not even be good as a made for tv flick.  	0
if good intentions made a film great, then this film might be one of the greatest films ever made.  	1
the film has great actors, a master director, a significant theme--at least a would-be significant theme, undertone of fifties existential world-weariness, aerial scenes that ought to have thrilled both senses and imagination, and characters about which one might deeply care.  	1
regrettably, the film fails.  	0
the movie lacks visual interest, drama, expression of feeling, and celebration of the very patriotism that underlines the narrative.  	0
no actress has been worse used that june allison in this movie.  	0
yet, i enjoy watching it.  	1
unfortunately, this is a bad movie that is just plain bad.  	0
bad script, bad direction and horrible acting make this one plain bad!  	0
the dialogue sucked.  	0
the cinematography-if it can be called that-sucked.  	0
the soundtrack sucked.  	0
the acting sucked.  	0
the concert sequences just sucked.  	0
that was nice.  	1
that was funny.  	1
it was so funny.  	1
overall, this movie was cheap trash.  	0
but this movie is not funny, considering the ridiculousness of it.  	0
i came out of it feeling angry.  	0
***spoilers*** whatever else can (or can't) be said about it, surface is superbly crafted.  	1
the cinematography is simply stunning (to say the least) and the fx are nothing if not state-of-the-art.  	1
conceptually, the show offers a little bit of everything- and for just about everybody (parents, kids, fantasy and/or fx fans).  	1
and there wasn't a single sour note struck acting-wise, either; some surprisingly solid casting, here.  	1
all things considered, a job very well done.  	1
thanks good a movie like this was done and released.  	1
one of the best mexican movies ever!, and one of the less understood, even by mexican themselves, no matter how identified the should have felt with it.  	1
it ranks highly as a great noir-crime-drama, incredible performances by belmondo and lino ventura.  	1
the attention given to every character, and complex psychological portrayals, detailing loyalty, treachery, love, and hope, are tremendous.  	1
it is an excellent drama, an excellent thriller, and an excellent film.  	1
up there with the best of melville.  	1
everything about this film is simply incredible.  	1
you truly take this journey through the eyes and soul of a child.  	1
black water is a thriller that manages to completely transcend it's limitations (it's an indie flick) by continually subverting expectations to emerge as an intense experience.  	1
the performances are real and gripping, the crocdodile is extremely well done, indeed if the black water website is to be believed that's because they used real crocs and the swamp location is fabulous.  	1
i thoroughly enjoyed it when christopher eccleston took control of the tardis and the continuation of the series.  	1
i'm not sure what he was trying to do with this film.  	0
if it was to turn my good day feeling into a night of disturbing memories than i guess he succeeded.  	0
there is a lot of beautiful places.  	1
it was forced, like everything in this movie.  	0
again, lame.  	0
here's where the movie really pi**ed me off.  	0
and don't even get me started on the jerky camerawork.  	0
when i saw it in the theater i thought i was going to be sick.  	0
summary: the witticisms weren't witty.  	0
the plot - well, i said i'd let that one go.  	0
the acting was bad.  	0
really bad.  	0
even billy bob couldn't rise above the script, which was worse.  	0
camerawork - again, bad.  	0
rating: 1 out of 10.  	0
an amazing finale to possibly the best trilogy of all time!  	1
kieslowski never ceases to amaze me.  	1
he is one of my favourite directors, and one of the most talented directors in the history of cinema.  	1
his use of the colours of the french flag in the three films was nothing short of incredible, every shot, every scene was like a work of art.  	1
three of the most visually appealing movies i've ever seen.  	1
and his subtle connections between the three films are awesome.  	1
i have to mention this and it is a huge spoiler, i loved the ending, how all the characters of the three films were the remaining survivors of the ferry disaster, with valentine and the young judge together, and the old man watching it on her tv, solidifying his happiness over the suffering which he dealt with for those many years.  	1
i couldn't think of a better way to end the film, but a smile on my face, great way to wrap up an amazing film and trilogy!  	1
i recommend this for everyone who loves film, movies, anything...a work of art!  	1
10 out of 10 for both the movie and trilogy.  	1
i literally vomited while watching this film.  	0
i think i was one of the people who found this another one of roth's pearls.  	1
his performance, as awarded, was stunning.  	1
the story which was told so eloquently by francis ford coppola 25 years earlier, really unfolds gradually and leaves room for the characters to develop.  	1
in a most wonderful location lies a story of contrast.  	1
all in all a beautiful directed film from nicola's roeg wih a sublime cast.  	1
i'm translating movies for a living and this is the first movie in my 5-year working experience that i found offensive to my intelligence.  	0
but when someone strives for greatness and poetry, but delivers a muddled (and often ridiculous) story, a bunch of disparate scenes, pretentious dialogue... then you get the worst kind of a movie that some other reviewer very accurately defined as pretentious crap"".",0
why was this film made?,0
"instead, we got a bore fest about a whiny, spoiled brat babysitting.",0
will go back next trip out.,1
this is so embarassing and also my ears hurt if i try to push the ear plug into my ear.,0
but the service was beyond bad.,0
"after watching this film, i wanted to learn more about the works of this artist.",1
it shouldn't take 30 min for pancakes and eggs.,0
i've never been more insulted or felt disrespected.,0
very disappointed in accessoryone.,0
"i posted more detailed comments under the grey or black phone, but i have the fire red and it's a great color!",1
the burrittos blah!,0
the chefs were friendly and did a good job.,1
this is the first phone i've had that has been so cheaply made.,0
i hate writing bad reviews about films - especially those in which i really like the star - but this film is so bad i don't believe for one second that anyone could have been proud of it.,0
i got food poisoning here at the buffet.,0
"the staff is always super friendly and helpful, which is especially cool when you bring two small boys and a baby!",1
"the real killer is the volume, and of course it breaking.",0
i keep watching it over and over.,1
won't go back.,0
the speaker is of low quality so as making the ring tones sound very cheap.,0
"regardless, the film fails on most levels.",0
i believe that this place is a great stop for those with a huge belly and hankering for sushi.,1
"also, it's a real treat to see anthony quinn playing crazy horse.",1
im surprised this is a good quality car charger and there's not much reviews about it.,1
google mediocre and i imagine smashburger will pop up.,0
would not reccommend.,0
they work about 2 weeks then break.,0
"it is very comfortable to wear as well, which is probably the most important aspect about using a case.",1
"elias koteas,jack palance play good roles angelina is hot and gets naked.billy drago appears in this and is cool as usual + a cameo by sven ole thorsen helps make this a very enjoyable movie with good acting and a decent budget.",1
i asked multiple times for the wine list and after some time of being ignored i went to the hostess and got one myself.,0
"we had fantastic service, and were pleased by the atmosphere.",1
awful.,0
truly awful.,0
"personally, i think it shows that people should learn to find a compromise them self without involving other people into issue.",1
"furthermore, you can't even find hours of operation on the website!",0
about half way through this film i started to dislike it.,0
"angus scrimm also turns in a good performance in a somewhat brief but memorable role as the gently menacing, violin-playing anatomist doctor quinn.",1
"unfortunately, any virtue in this film's production work was lost on a regrettable script.",0
) don't waste your time.,0
i dont think i will be back for a very long time.,0
the waitresses are very friendly.,1
"the scenes with the ""oh-so-mature"" neighbour-girl are a misplace.",0
"in an interesting part of town, this place is amazing.",1
"macbeth (jason connery) moved me to tears with his final monolog (out brief candle, out)he gave the sphere of moral decay and dark forces a human face, which makes it the more interesting.",1
very funny!,1
best tater tots in the southwest.,1
it's very attractive and appears to be of good quality.,1
mobile phone tools are a must have.,1
you have to hold the phone at a particular angle for the other party to hear you clearly.,0
"the chipolte ranch dipping sause was tasteless, seemed thin and watered down with no heat.",0
"my side greek salad with the greek dressing was so tasty, and the pita and hummus was very refreshing.",1
the movie is terribly boring in places.,0
the acting by the whole cast could be put on a scale and balanced perfectly between overacting and underacting.,0
i just wanted to leave.,0
the flair bartenders are absolutely amazing!,1
this is the place where i first had pho and it was amazing!!,1
"finally, after three or four times the spring of the latch broke and i could not use it any longer on the visor.",0
"my colleague & i now get great reception.a little expensive, but performance is great.",1
thank you for such great service.,1
its the best headset i have used.,1
i don't think it would hold it too securly on your belt.,0
"i saw ""mirrormask"" last night and it was an unsatisfactory experience.",0
"third, the cheese on my friend's burger was cold.",0
"i have 2-3 bars on my cell phone when i am home, but you cant not hear anything.",0
makes it easier to keep up with my bluetooth when i'm not wearing it.,0
"unfortunately it will not recharge my iphone 4s, despite connecting it from multiple power sources (imac, external battery, wall outlet, etc).",0
seller shipped quickly and much cheaper than the competitors.,1
this is a great product..... sure beats using your fingers!.,1
horrible phone.,0
i was not impressed by this product.,0
having trouble with volume.,0
an excellent new restaurant by an experienced frenchman.,1
"took an hour to get our food only 4 tables in restaurant my food was luke warm, our sever was running around like he was totally overwhelmed.",0
absolutel junk.,0
i was very pleased to see that i could replace my well travled swivel holster for my blackberry flip.,1
total waste of time.,0
that company is a joke.,0
these are certainly very comfortable and functionality is decent.,1
the movie is full of wonderful dancing (hence the title!,1
"anyways, the food was definitely not filling at all, and for the price you pay you should expect more.",0
he deserves 5 stars.,1
never again will i be dining at this place!,0
eew... this location needs a complete overhaul.,0
superb phone on a great network.,1
"all in all, a great disappointment.",0
- the food is rich so order accordingly.,1
nice headphones for the price and they work great!,1
"great price, too!",1
this was my first and only vegas buffet and it did not disappoint.,1
